player_id,match_id,overs,maidens,runs,wickets,economy,average,strike_rate,opposition
46919,3388,10.0,1,33,1,3.3,33.0,60.0,IND
46919,3401,5.5,0,22,3,3.77,7.33,11.6,SOA
46919,3445,10.0,0,73,2,7.3,36.5,30.0,PAK
46919,3448,9.0,0,49,1,5.44,49.0,54.0,PAK
46919,3450,7.3,0,42,3,5.6,14.0,15.0,PAK
46919,3471,10.0,3,24,2,2.4,12.0,30.0,BAN
46919,3473,9.0,1,65,2,7.22,32.5,27.0,PAK
46919,3481,7.0,2,30,2,4.28,15.0,21.0,AFG
46919,3485,10.0,0,32,2,3.2,16.0,30.0,BAN
46919,3486,10.0,2,41,0,4.1,,,PAK
46919,3492,6.0,0,34,0,5.66,,,ENG
46919,3567,8.0,0,30,4,3.75,7.5,12.0,ENG
46919,3569,8.0,1,25,2,3.12,12.5,24.0,ENG
46919,3588,10.0,0,93,0,9.3,,,NZL
46919,3590,7.0,1,31,0,4.42,,,NZL
46919,3599,10.0,0,62,2,6.2,31.0,30.0,NZL
46919,3609,10.0,1,36,2,3.6,18.0,30.0,AFG
46919,3615,8.0,0,49,2,6.12,24.5,24.0,BAN
46919,3619,7.4,0,71,1,9.26,71.0,46.0,ENG
46919,3664,5.0,1,21,1,4.2,21.0,30.0,PAK
46919,3671,8.0,0,50,1,6.25,50.0,48.0,PAK
46919,3672,6.0,0,35,0,5.83,,,PAK
46919,3701,5.0,0,15,3,3.0,5.0,10.0,WIN
46919,3702,7.0,0,51,1,7.28,51.0,42.0,WIN
46919,3704,7.0,0,40,2,5.71,20.0,21.0,WIN
46919,3714,3.0,0,24,0,8.0,,,NZL
46919,3753,5.0,0,21,0,4.2,,,ENG
46919,3757,7.0,0,48,1,6.85,48.0,42.0,ENG
46919,3758,10.0,0,65,1,6.5,65.0,60.0,ENG
46919,3776,8.0,1,30,0,3.75,,,AUS
46919,3805,9.2,1,45,2,4.82,22.5,28.0,WIN
46919,3808,10.0,0,67,2,6.7,33.5,30.0,WIN
46919,3828,6.0,1,29,0,4.83,,,SOA
46919,3830,7.0,0,54,2,7.71,27.0,21.0,SOA
46919,3831,6.0,1,23,0,3.83,,,SOA
46919,3834,10.0,0,71,3,7.1,23.66,20.0,SOA
46919,3855,8.0,0,45,2,5.62,22.5,24.0,BAN
46919,3858,8.0,0,38,2,4.75,19.0,24.0,BAN
46919,3877,10.0,0,51,1,5.1,51.0,60.0,SOA
46919,3882,10.0,1,72,1,7.2,72.0,60.0,IND
46919,3888,10.0,0,48,1,4.8,48.0,60.0,PAK
46919,3922,10.0,0,47,2,4.7,23.5,30.0,PAK
46919,3924,10.0,0,42,1,4.2,42.0,60.0,PAK
