match_id,country,opposition,runs,wickets,over,rpo,target,inns,result
3315,PAK,IND,250,10,48.3,5.15,,1,1
3315,IND,PAK,165,10,48.0,3.43,251,2,0
3316,PAK,IND,157,10,48.5,3.21,168,2,0
3316,IND,PAK,167,10,43.4,3.82,,1,1
3317,SLK,AUS,198,10,40.0,4.95,306,2,0
3317,AUS,SLK,305,5,50.0,6.1,,1,1
3318,IND,ENG,316,9,50.0,6.32,326,2,0
3318,ENG,IND,325,4,50.0,6.5,,1,1
3319,SLK,AUS,172,2,40.1,4.28,171,2,1
3319,AUS,SLK,170,10,46.5,3.62,,1,0
3320,IND,ENG,285,6,50.0,5.7,,1,1
3320,ENG,IND,158,10,36.0,4.38,286,2,0
3321,SLK,AUS,75,6,20.0,3.75,75,2,1
3321,AUS,SLK,74,10,26.4,2.77,,1,0
3322,IND,ENG,157,3,28.1,5.57,156,2,1
3322,ENG,IND,155,10,42.2,3.66,,1,0
3323,SOA,NZL,208,10,46.2,4.48,,1,0
3323,NZL,SOA,209,9,45.4,4.57,209,2,1
3325,SOA,NZL,252,10,49.1,5.12,280,2,0
3325,NZL,SOA,279,8,50.0,5.58,,1,1
3326,SLK,AUS,215,10,48.3,4.43,248,2,0
3326,AUS,SLK,247,5,50.0,4.94,,1,1
3327,IND,ENG,258,5,47.3,5.43,258,2,1
3327,ENG,IND,257,7,50.0,5.14,,1,0
3328,SOA,NZL,264,9,50.0,5.28,261,2,1
3328,NZL,SOA,260,9,50.0,5.2,,1,0
3329,IND,ENG,226,10,49.4,4.55,,1,0
3329,ENG,IND,227,3,47.2,4.79,227,2,1
3330,WIN,AUS,70,10,23.5,2.93,,1,0
3330,AUS,WIN,71,1,9.2,7.6,71,2,1
3331,WIN,AUS,212,10,38.1,5.55,267,2,0
3331,AUS,WIN,266,7,50.0,5.32,,1,1
3332,WIN,AUS,290,10,47.3,6.1,330,2,0
3332,AUS,WIN,329,7,50.0,6.58,,1,1
3333,WIN,AUS,220,10,49.4,4.42,,1,0
3333,AUS,WIN,221,5,44.5,4.92,221,2,1
3334,WIN,AUS,257,10,49.5,5.15,275,2,0
3334,AUS,WIN,274,5,50.0,5.48,,1,1
3335,NZL,ENG,259,7,48.5,5.3,259,2,1
3335,ENG,NZL,258,10,49.3,5.21,,1,0
3336,NZL,ENG,269,10,48.5,5.5,,1,0
3336,ENG,NZL,270,2,47.4,5.66,270,2,1
3338,NZL,ENG,185,10,43.5,4.22,,1,0
3338,ENG,NZL,186,5,37.3,4.96,186,2,1
3343,SOA,PAK,315,4,50.0,6.3,,1,1
3343,PAK,SOA,190,10,36.2,5.22,316,2,0
3346,SOA,PAK,191,10,43.2,4.4,,1,0
3346,PAK,SOA,192,4,39.2,4.88,192,2,1
3347,SOA,PAK,343,5,50.0,6.86,,1,1
3347,PAK,SOA,309,10,48.1,6.41,344,2,0
3348,SOA,PAK,234,9,50.0,4.68,,1,0
3348,PAK,SOA,236,7,48.4,4.84,235,2,1
3349,SLK,BAN,238,2,35.4,6.67,238,2,1
3349,BAN,SLK,259,8,50.0,5.18,,1,0
3350,SOA,PAK,208,4,44.0,4.72,206,2,1
3350,PAK,SOA,205,10,49.1,4.16,,1,0
3352,SLK,BAN,302,9,50.0,6.04,,1,0
3352,BAN,SLK,184,7,26.0,7.07,183,2,1
3360,NZL,ENG,231,5,46.5,4.93,228,2,1
3360,ENG,NZL,227,9,50.0,4.54,,1,0
3361,NZL,ENG,359,3,50.0,7.18,,1,1
3361,ENG,NZL,273,10,44.1,6.18,360,2,0
3362,NZL,ENG,253,10,46.3,5.44,288,2,0
3362,ENG,NZL,287,6,50.0,5.74,,1,1
3363,SOA,IND,305,10,50.0,6.1,332,2,0
3363,IND,SOA,331,7,50.0,6.62,,1,1
3364,WIN,PAK,172,8,40.4,4.22,171,2,1
3364,PAK,WIN,170,10,48.0,3.54,,1,0
3365,ENG,AUS,269,6,50.0,5.38,,1,1
3365,AUS,ENG,221,9,50.0,4.42,270,2,0
3366,SLK,NZL,138,10,37.5,3.64,,1,0
3366,NZL,SLK,139,9,36.3,3.8,139,2,1
3367,SOA,PAK,234,9,50.0,4.68,,1,1
3367,PAK,SOA,167,10,45.0,3.71,235,2,0
3368,WIN,IND,233,9,50.0,4.66,,1,0
3368,IND,WIN,236,2,39.1,6.02,234,2,1
3370,SLK,ENG,297,3,47.1,6.29,294,2,1
3370,ENG,SLK,293,7,50.0,5.86,,1,0
3372,PAK,IND,165,10,39.4,4.15,,1,0
3372,IND,PAK,102,2,19.1,5.32,102,2,1
3373,NZL,ENG,159,8,24.0,6.62,170,2,0
3373,ENG,NZL,169,10,23.3,7.19,,1,1
3374,SLK,AUS,253,8,50.0,5.06,,1,1
3374,AUS,SLK,233,10,42.3,5.48,254,2,0
3375,SOA,ENG,175,10,38.4,4.52,,1,0
3375,ENG,SOA,179,3,37.3,4.77,176,2,1
3376,SLK,IND,181,8,50.0,3.62,,1,0
3376,IND,SLK,182,2,35.0,5.2,182,2,1
3377,IND,ENG,129,7,20.0,6.45,,1,1
3377,ENG,IND,124,8,20.0,6.2,130,2,0
3378,WIN,SLK,209,4,37.5,5.52,209,2,1
3378,SLK,WIN,208,10,48.3,4.28,,1,0
3380,WIN,IND,230,9,47.4,4.82,230,2,1
3380,IND,WIN,229,7,50.0,4.58,,1,0
3382,SLK,IND,348,1,50.0,6.96,,1,1
3382,IND,SLK,187,10,44.5,4.17,349,2,0
3383,WIN,IND,171,10,34.0,5.02,274,2,0
3383,IND,WIN,311,7,50.0,6.22,,1,1
3385,WIN,SLK,190,9,41.0,4.63,230,2,0
3385,SLK,WIN,219,8,41.0,5.34,,1,1
3387,SLK,IND,96,10,24.4,3.89,178,2,0
3387,IND,SLK,119,3,29.0,4.1,,1,1
3388,SLK,IND,201,10,48.5,4.11,,1,0
3388,IND,SLK,203,9,49.4,4.08,202,2,1
3389,WIN,PAK,98,10,41.0,2.39,225,2,0
3389,PAK,WIN,224,9,50.0,4.48,,1,1
3390,WIN,PAK,232,8,50.0,4.64,,1,1
3390,PAK,WIN,195,10,47.5,4.07,233,2,0
3392,SLK,SOA,320,5,50.0,6.4,,1,1
3392,SOA,SLK,140,10,31.5,4.39,321,2,0
3393,WIN,PAK,261,7,49.0,5.32,,1,0
3393,PAK,WIN,189,4,30.0,6.3,189,2,1
3394,SLK,SOA,223,9,49.2,4.52,,1,1
3394,SOA,SLK,104,5,21.0,4.95,122,2,0
3396,WIN,PAK,242,7,50.0,4.84,,1,0
3396,PAK,WIN,243,6,49.5,4.87,243,2,1
3398,SLK,SOA,167,10,43.2,3.85,224,2,0
3398,SOA,SLK,223,7,50.0,4.46,,1,1
3400,SLK,SOA,239,2,44.0,5.43,239,2,1
3400,SOA,SLK,238,10,48.4,4.89,,1,0
3401,SLK,SOA,307,4,50.0,6.14,,1,1
3401,SOA,SLK,179,10,43.5,4.08,308,2,0
3412,ENG,AUS,227,10,44.2,5.12,316,2,0
3412,AUS,ENG,315,7,50.0,6.3,,1,1
3415,ENG,AUS,231,7,49.3,4.66,228,2,1
3415,AUS,ENG,227,10,48.2,4.69,,1,0
3416,ENG,AUS,249,10,48.0,5.18,299,2,0
3416,AUS,ENG,298,10,49.1,6.06,,1,1
3419,IND,AUS,232,10,49.4,4.67,305,2,0
3419,AUS,IND,304,8,50.0,6.08,,1,1
