match_id,team1,team2,date,ground
3315,PAK,IND,3 Jan 2013,Kolkata
3316,IND,PAK,6 Jan 2013,Delhi
3317,AUS,SLK,11 Jan 2013,Melbourne
3318,ENG,IND,11 Jan 2013,Rajkot
3319,SLK,AUS,13 Jan 2013,Adelaide
3320,IND,ENG,15 Jan 2013,Kochi
3321,SLK,AUS,18 Jan 2013,Brisbane
3322,IND,ENG,19 Jan 2013,Ranchi
3323,NZL,SOA,19 Jan 2013,Paarl
3325,NZL,SOA,22 Jan 2013,Kimberley
3326,AUS,SLK,23 Jan 2013,Hobart
3327,IND,ENG,23 Jan 2013,Mohali
3328,SOA,NZL,25 Jan 2013,Potchefstroom
3329,ENG,IND,27 Jan 2013,Dharamsala
3330,AUS,WIN,1 Feb 2013,Perth
3331,AUS,WIN,3 Feb 2013,Perth
3332,AUS,WIN,6 Feb 2013,Canberra
3333,AUS,WIN,8 Feb 2013,Sydney
3334,AUS,WIN,10 Feb 2013,Melbourne
3335,NZL,ENG,17 Feb 2013,Hamilton
3336,ENG,NZL,20 Feb 2013,Napier
3338,ENG,NZL,23 Feb 2013,Auckland
3343,SOA,PAK,10 Mar 2013,Bloemfontein
3346,PAK,SOA,15 Mar 2013,Centurion
3347,SOA,PAK,17 Mar 2013,Johannesburg
3348,PAK,SOA,21 Mar 2013,Durban
3349,SLK,BAN,23 Mar 2013,Hambantota
3350,SOA,PAK,24 Mar 2013,Benoni
3352,BAN,SLK,28 Mar 2013,Pallekele
3360,NZL,ENG,31 May 2013,Lord's
3361,NZL,ENG,2 Jun 2013,Southampton
3362,ENG,NZL,5 Jun 2013,Nottingham
3363,IND,SOA,6 Jun 2013,Cardiff
3364,WIN,PAK,7 Jun 2013,The Oval
3365,ENG,AUS,8 Jun 2013,Birmingham
3366,NZL,SLK,9 Jun 2013,Cardiff
3367,SOA,PAK,10 Jun 2013,Birmingham
3368,IND,WIN,11 Jun 2013,The Oval
3370,SLK,ENG,13 Jun 2013,The Oval
